0,1,2,3,4,5,6,7,8,9,10,11,12,13
-697.9842,55.22849,0.323863,12.775377,7.396148,0.8662239,-3.5502758,-2.8283315,-11.305533,-2.5249267,0.49610436,-2.7229264,1.6458004,0
-693.0697,55.73457,-1.9197392,16.408995,8.449354,0.22073597,-1.7383419,-4.93129,-11.98182,-0.9937804,0.4941069,-2.2968976,0.67870015,0
-691.77014,58.350647,-0.16516016,13.952125,5.0533233,1.489326,-2.3974292,-5.059065,-10.638003,-3.3441968,0.2645497,-2.529107,1.5486121,0
-685.2379,56.23669,2.453112,13.566655,6.701949,3.3414934,-1.8950523,-6.6738167,-10.671633,-2.9463196,0.8956436,-1.2035999,0.2465694,0
-727.31793,62.7644,2.7512748,15.473256,7.763115,2.3307145,-3.6416821,-3.3673444,-10.113079,-4.470084,0.63989425,-2.7456565,0.19821925,0
-707.55347,67.09773,1.9093652,11.530989,9.399661,1.4150268,-4.764856,-4.3333335,-8.645218,-4.472897,1.429521,-2.0484023,-0.51856035,0
-697.4039,65.5138,0.5253573,14.038121,5.5549493,3.295452,-1.7407448,-4.3807554,-9.062699,-4.1661587,1.5895823,-1.2514738,1.058002,0
-698.85394,69.10643,0.7254112,14.0907345,7.961055,2.463775,-0.994342,-5.345838,-8.234461,-4.035145,0.64765006,-1.3391949,1.2414207,0
-734.38495,70.98158,3.789531,14.324812,8.859694,2.3088048,-4.1103296,-2.409554,-6.710662,-4.011647,1.6443522,0.43918866,-0.52450657,0
-698.0933,67.791794,-0.90085685,12.33659,6.4498596,1.0203947,-4.993831,-5.5840025,-8.369481,-4.4414024,2.250739,-1.0461272,-1.5184064,0
-704.6942,69.36788,4.208249,12.464019,5.1585937,6.381874,-5.335752,-4.3550434,-8.794273,-4.403317,1.8325772,1.697259,0.12610996,0
-691.31586,65.8337,-4.0371404,15.089723,6.215339,3.4823496,-4.885655,-7.7469306,-10.253158,-3.2049906,3.273088,-0.46710902,-0.753944,0
-646.1303,63.436043,-4.7050138,12.907815,3.9263208,-2.5854485,-5.982906,-6.31169,-11.837653,-2.075405,-1.5885873,-6.506576,0.89486724,0
-631.5811,63.322166,-6.1335173,15.783361,6.2134686,-1.2684891,-6.906775,-4.4913425,-13.98043,-1.0565224,-0.16201156,-6.067973,3.1193914,0
-656.4083,62.542316,-2.664727,13.251564,1.5033547,0.16120906,-5.986968,-6.960754,-14.088727,-2.9940808,2.0577927,-6.692928,1.6364713,0
-652.9287,57.447765,0.027808856,18.713766,2.2407947,0.83782625,-2.91643,-5.8738265,-13.817194,-3.219101,0.24028364,-4.2037735,2.2087376,0
-596.79126,49.548428,-6.384744,6.0062265,-1.668014,-0.81252015,-12.428633,-8.426094,-11.485936,-8.588349,-1.057006,-6.682466,-2.2655487,0
-560.09265,55.18311,-11.826187,5.802594,2.1097963,-1.5595231,-11.414464,-7.296623,-14.805033,-7.14044,2.9741206,-7.6017413,-1.9297847,0
-517.99835,48.429356,-10.63123,8.240811,-0.5801833,-1.7672244,-10.825087,-8.834173,-18.274193,-4.522711,-0.38373834,-8.764274,-0.25452146,0
-539.44464,50.090363,-9.412655,7.3318167,-1.5387509,-2.9151354,-10.203468,-9.21971,-17.610708,-6.7406974,-2.1607702,-6.6235013,-0.661191,0
-681.0887,61.20893,-2.3614292,14.609263,6.424041,-2.480571,-2.8604646,-8.270592,-11.429063,-4.0701127,-4.6368127,-1.3228489,-1.2236596,0
-699.3178,65.86637,-1.4695121,16.901196,8.154821,-0.100982666,-0.18945956,-7.229146,-10.660558,-5.173815,-2.0920382,-1.6745896,-2.0880594,0
-735.7175,60.750244,-3.7851462,14.374075,6.250601,-1.4310757,-2.0664592,-7.237083,-11.304367,-3.4978766,-1.3165076,-1.0398877,-1.5937151,0
-711.96106,59.924423,0.38319218,15.940359,5.673769,0.15352075,0.8922649,-7.203911,-12.565257,-3.655406,-2.7092638,-2.145418,-0.353642,0
-670.11145,62.823074,0.5571423,17.218746,7.4550605,-1.4781752,-1.2724336,-7.127525,-9.772373,-1.152099,-2.7757573,-2.2713854,-0.45928052,0
-627.64435,51.20387,-5.2075257,10.820925,3.3913436,-3.3029513,-8.9770565,-6.8396683,-15.439201,-4.1348023,-2.5005705,-6.6673713,0.044459533,0
-620.41205,55.264126,-6.0008383,13.997068,3.6677697,-2.4729056,-7.084649,-9.022414,-18.741243,-4.6358047,-2.5257583,-7.0122285,0.11720712,0
-606.1061,51.190697,-4.4750175,13.707726,1.9421052,-2.7540147,-7.3613663,-8.506663,-16.334505,-3.4953883,-1.7118582,-5.7450495,0.09307843,0
-546.3417,42.903503,-6.40775,13.032621,-1.7944484,-2.409417,-4.6959043,-1.079173,-12.832335,-4.406177,-1.2240134,-4.406079,-1.065066,0
-526.54034,40.550125,-5.8469234,8.531039,-3.8284836,-3.2202508,-7.475059,-8.151176,-13.546167,-6.147716,-4.9182553,-6.246776,-3.8764508,0
-571.15985,45.756905,-1.8889462,12.214232,-0.7662792,-1.4611003,-5.5919952,-6.3026958,-13.775704,-3.8180676,-3.9971755,-4.106056,-1.3070606,0
-531.053,44.653122,-3.24905,8.975468,-0.36828804,-3.1031551,-4.7316017,-6.2016907,-15.522319,-4.6229415,-2.943895,-5.428802,-0.06843946,0
-349.33228,30.41138,-20.523148,1.3123857,-11.870387,-3.8278084,-13.357002,-13.008143,-14.113652,-7.955347,-6.107919,-4.5124035,-7.5626903,0
-368.5743,22.89318,-19.359463,3.8106205,-10.871699,-4.801291,-12.855065,-7.384648,-17.476631,-8.489613,-5.3784003,-7.7502575,-5.4376297,0
-401.70688,30.505062,-16.271894,5.4238043,-7.22892,-3.4187636,-11.863017,-9.063133,-17.432384,-6.1348705,-4.5843263,-8.247121,-3.6859486,0
-304.19458,22.833496,-20.766605,-2.4956393,-11.075023,-6.0602098,-17.539633,-11.272037,-16.626715,-8.928222,-2.9648602,-7.903824,-6.503943,0
