0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-697.9842,55.22849,0.323863,12.775377,7.396148,0.8662239,-3.5502758,-2.8283315,-11.305533,-2.5249267,0.49610436,-2.7229264,1.6458004,-3.431964,0.14035648,1.0731596,-4.355672,-1.5837712,-1.5930085,-0.6593612,-6.200733,-0.26033115,1
-693.0697,55.73457,-1.9197392,16.408995,8.449354,0.22073597,-1.7383419,-4.93129,-11.98182,-0.9937804,0.4941069,-2.2968976,0.67870015,-2.9393213,-0.45076814,0.7342287,-4.824006,-0.6773812,-2.233056,0.82700926,-5.739732,-0.6041798,1
-691.77014,58.350647,-0.16516016,13.952125,5.0533233,1.489326,-2.3974292,-5.059065,-10.638003,-3.3441968,0.2645497,-2.529107,1.5486121,-3.132303,-2.2850497,1.1795368,-5.2221437,-2.828035,-0.16957504,0.32894358,-5.5837784,-0.80250764,1
-685.2379,56.23669,2.453112,13.566655,6.701949,3.3414934,-1.8950523,-6.6738167,-10.671633,-2.9463196,0.8956436,-1.2035999,0.2465694,-2.4638908,-1.4349359,2.1335146,-4.6477284,-1.7609537,-0.35699657,-0.36547396,-5.056116,-1.638164,1
-727.31793,62.7644,2.7512748,15.473256,7.763115,2.3307145,-3.6416821,-3.3673444,-10.113079,-4.470084,0.63989425,-2.7456565,0.19821925,-2.9337633,-0.7506076,1.924178,-5.790614,-0.39663607,-1.509363,-1.2271512,-4.952542,-1.0200224,2
-707.55347,67.09773,1.9093652,11.530989,9.399661,1.4150268,-4.764856,-4.3333335,-8.645218,-4.472897,1.429521,-2.0484023,-0.51856035,-3.1548307,-1.8742188,1.4090912,-5.1946054,-1.8799142,-1.0601617,-1.1548045,-4.855592,-1.5210236,2
-697.4039,65.5138,0.5253573,14.038121,5.5549493,3.295452,-1.7407448,-4.3807554,-9.062699,-4.1661587,1.5895823,-1.2514738,1.058002,-4.150174,1.1301672,0.46685115,-6.6261725,-2.313127,-0.3950027,-1.4120907,-6.190831,-1.2006193,2
-698.85394,69.10643,0.7254112,14.0907345,7.961055,2.463775,-0.994342,-5.345838,-8.234461,-4.035145,0.64765006,-1.3391949,1.2414207,-3.2436018,0.26866177,1.5214201,-5.7770133,-1.5375415,-0.75797933,-0.7291116,-6.6240973,-1.22539,2
-734.38495,70.98158,3.789531,14.324812,8.859694,2.3088048,-4.1103296,-2.409554,-6.710662,-4.011647,1.6443522,0.43918866,-0.52450657,-3.3277779,-0.18846197,0.8644886,-2.2109904,-2.192018,-0.71792763,1.4063842,-7.3393416,0.33269387,2
-698.0933,67.791794,-0.90085685,12.33659,6.4498596,1.0203947,-4.993831,-5.5840025,-8.369481,-4.4414024,2.250739,-1.0461272,-1.5184064,-4.27684,-0.5004026,-0.4877348,-4.3994255,-1.8563626,-1.1129158,0.095366724,-6.7363477,0.43846652,2
-704.6942,69.36788,4.208249,12.464019,5.1585937,6.381874,-5.335752,-4.3550434,-8.794273,-4.403317,1.8325772,1.697259,0.12610996,-3.569221,1.2969003,-0.41129562,-4.7668395,-1.5650284,-2.0583007,-0.013833769,-7.726365,0.05977941,2
-691.31586,65.8337,-4.0371404,15.089723,6.215339,3.4823496,-4.885655,-7.7469306,-10.253158,-3.2049906,3.273088,-0.46710902,-0.753944,-5.044663,-0.83250046,0.61848664,-5.0440717,-1.9190384,-1.0073556,0.3088586,-7.37411,-1.2418958,2
-646.1303,63.436043,-4.7050138,12.907815,3.9263208,-2.5854485,-5.982906,-6.31169,-11.837653,-2.075405,-1.5885873,-6.506576,0.89486724,-4.387031,-2.6907418,2.4395862,-8.27091,-2.6026978,-2.6986187,-2.3272357,-6.0978937,0.14351395,3
-631.5811,63.322166,-6.1335173,15.783361,6.2134686,-1.2684891,-6.906775,-4.4913425,-13.98043,-1.0565224,-0.16201156,-6.067973,3.1193914,-3.6524,-2.4604938,3.5203507,-8.102168,-2.5039623,0.046346385,-1.4568866,-6.4430194,0.17780215,3
-656.4083,62.542316,-2.664727,13.251564,1.5033547,0.16120906,-5.986968,-6.960754,-14.088727,-2.9940808,2.0577927,-6.692928,1.6364713,-3.8564525,-0.93769425,1.8680699,-7.032697,-1.72348,-1.2210056,-3.0504966,-5.3268013,-1.7330873,3
-652.9287,57.447765,0.027808856,18.713766,2.2407947,0.83782625,-2.91643,-5.8738265,-13.817194,-3.219101,0.24028364,-4.2037735,2.2087376,-3.8464599,-1.1358413,1.5417814,-7.628203,-1.9448467,-1.5702252,-2.247715,-5.866387,-1.1357019,3
-596.79126,49.548428,-6.384744,6.0062265,-1.668014,-0.81252015,-12.428633,-8.426094,-11.485936,-8.588349,-1.057006,-6.682466,-2.2655487,-3.4416301,-7.1033874,-0.47583267,-7.7613826,-2.6403732,-3.1710978,-4.5977507,-5.646152,-2.6937816,3
-560.09265,55.18311,-11.826187,5.802594,2.1097963,-1.5595231,-11.414464,-7.296623,-14.805033,-7.14044,2.9741206,-7.6017413,-1.9297847,-1.6829464,-6.232723,1.0442028,-7.5998793,-5.628976,-2.7525887,-4.3890247,-6.4028096,-3.8980465,3
-517.99835,48.429356,-10.63123,8.240811,-0.5801833,-1.7672244,-10.825087,-8.834173,-18.274193,-4.522711,-0.38373834,-8.764274,-0.25452146,-3.4930553,-7.331167,2.1078625,-9.868227,-3.5537949,-2.6766725,-4.4394765,-7.3477597,-2.1259465,3
-539.44464,50.090363,-9.412655,7.3318167,-1.5387509,-2.9151354,-10.203468,-9.21971,-17.610708,-6.7406974,-2.1607702,-6.6235013,-0.661191,-2.4312372,-8.128457,0.50682217,-8.942594,-5.299638,-2.9624283,-2.8136215,-8.275551,-2.4930682,3
-681.0887,61.20893,-2.3614292,14.609263,6.424041,-2.480571,-2.8604646,-8.270592,-11.429063,-4.0701127,-4.6368127,-1.3228489,-1.2236596,-6.0301266,-2.3043845,-0.950936,-5.8226027,-4.289969,-3.3870823,-0.5479177,-7.1481075,-2.107619,4
-699.3178,65.86637,-1.4695121,16.901196,8.154821,-0.100982666,-0.18945956,-7.229146,-10.660558,-5.173815,-2.0920382,-1.6745896,-2.0880594,-3.1281104,-1.0312468,-0.5564649,-4.0433636,-2.3904989,-1.9477763,0.22683574,-6.936132,-0.95226675,4
-735.7175,60.750244,-3.7851462,14.374075,6.250601,-1.4310757,-2.0664592,-7.237083,-11.304367,-3.4978766,-1.3165076,-1.0398877,-1.5937151,-3.0625477,-3.0109308,0.021422178,-4.856053,-5.9397726,-0.96323925,-0.21937953,-6.4549694,-1.8981161,4
-711.96106,59.924423,0.38319218,15.940359,5.673769,0.15352075,0.8922649,-7.203911,-12.565257,-3.655406,-2.7092638,-2.145418,-0.353642,-3.7446992,-2.850525,2.1725593,-3.438985,-3.9682367,-1.8662598,0.1595725,-6.7541013,-1.7393043,4
-670.11145,62.823074,0.5571423,17.218746,7.4550605,-1.4781752,-1.2724336,-7.127525,-9.772373,-1.152099,-2.7757573,-2.2713854,-0.45928052,-4.7539544,-1.7157742,1.3669331,-5.2787395,-2.8099413,-2.8701055,0.056077912,-5.262767,-0.8645001,4
-627.64435,51.20387,-5.2075257,10.820925,3.3913436,-3.3029513,-8.9770565,-6.8396683,-15.439201,-4.1348023,-2.5005705,-6.6673713,0.044459533,-4.623894,-5.383047,1.489914,-9.344368,-3.1813393,-0.96571064,-2.436524,-6.744008,-1.806701,4
-620.41205,55.264126,-6.0008383,13.997068,3.6677697,-2.4729056,-7.084649,-9.022414,-18.741243,-4.6358047,-2.5257583,-7.0122285,0.11720712,-5.342791,-4.029319,1.6764699,-6.9946547,-4.348525,-3.1244743,-2.35171,-7.6491337,-3.7160137,4
-606.1061,51.190697,-4.4750175,13.707726,1.9421052,-2.7540147,-7.3613663,-8.506663,-16.334505,-3.4953883,-1.7118582,-5.7450495,0.09307843,-6.062932,-4.2983794,1.685703,-8.3396225,-4.1267323,-3.1617353,-2.4095151,-7.238339,-1.9253106,4
